Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw
SPO0014	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)				426607	210560	450540	488439		228098	293225	283549		254110	2.6295e+06	200880	120202		
SPO0015	Branched-chain amino acid aminotransferase				3.85818e+06	2.98815e+06	3.64388e+06	3.80624e+06	4.76326e+06	2.90791e+06	3.65048e+06	3.56428e+06	2.33167e+06	3.54813e+06	3.02096e+06	2.86237e+06			
SPO0016	Sterol carrier family protein				1.60851e+06	1.12261e+06	1.62899e+06	1.59872e+06		1.19778e+06	1.54741e+06	1.44136e+06		1.39298e+06		1.29159e+06			
SPO0017	Calpastatin				446642	872087	819585	717203		820513	831130	893131		926440		836350			455293
SPO0018	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)				2.12138e+07	1.74693e+07	2.26325e+07	2.39615e+07	1.28152e+07	1.66458e+07	2.00936e+07	2.02504e+07	1.61133e+07	2.02123e+07	1.21551e+07	1.74711e+07	113062	165654	
SPO0019	"Membrane protein, putative"				140210	361066	307919	327654		256138	373904	368767		387104		227455			
SPO0020	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)				2.08284e+06	2.00544e+06	2.24423e+06	2.298e+06		1.92728e+06	2.27282e+06	2.27693e+06		2.20971e+06		1.8747e+06			
SPO0021	Hpt domain protein				781000	109564	1.07973e+06	987065		128726	124514					171391			
SPO0022	Response regulator				285511	12258.8	266203	289358	5.34293e+07		13534.8	61463		20635.1					494088
SPO0023	"Hydrolase, NUDIX family"				476119	541432	452036	409992		519857	474951	499178		491828		516845		207814	
SPO0024	"Chaperonin, 33 kDa"				3.36658e+06	3.52757e+06	2.7906e+06	2.88248e+06	5.67518e+06	3.51892e+06	3.91096e+06	4.15338e+06	3.98028e+06	4.33106e+06	6.38097e+06	3.51899e+06			
SPO0025	"Hydrolase, NUDIX family"				984713	496908	655155	739660		473759	737349	623743		638940		494430			
SPO0026	PolyA polymerase family protein				2.18311e+06	1.88803e+06	2.12978e+06	2.13024e+06	9.32591e+06	1.79864e+06	2.15195e+06	2.05486e+06		2.13721e+06		1.84279e+06		1.00494e+06	
SPO0027	"ABC transporter, transmembrane ATP-binding protein"				1.37404e+06	986256	1.66023e+06	1.66769e+06		921942	1.24007e+06	1.1798e+06		1.21857e+06		955315	7.23651e+06		307768
SPO0028	"ABC transporter, transmembrane ATP-binding protein"				682588	615175	753609	787391	5.04169e+07	536160	626385	564320		573457		562061	1.579e+07	8.98095e+07	1.78028e+08
SPO0029	23S rRNA (Uracil-5-)-methyltransferase rumA (EC 2.1.1.-)				1.58056e+06	1.4181e+06	1.39969e+06	1.54168e+06	7.67082e+06	1.28021e+06	1.59758e+06	1.52417e+06	6.21944e+07	1.55908e+06	1.18128e+07	1.29199e+06			
SPO0030	Voltage-gated sodium channel				1.83096e+06	2.14267e+06	2.99472e+06	2.9223e+06		1.93421e+06	2.87133e+06	2.74928e+06		2.75703e+06		2.10532e+06			799649
SPO0031	ErfK/YbiS/YcfS/YnhG family protein				1.50717e+06	2.66482e+06	1.71951e+06	1.70247e+06		2.44931e+06	2.46167e+06	2.42983e+06		2.40968e+06		2.47542e+06	2.89076e+06	2.80442e+06	3.07414e+06
SPO0033	"Transcriptional regulator, LysR family"				215303	257715	217872	196717		260853	262478	294028		270635		244158			
SPO0034	Nodulation protein NodH				2.1266e+06	1.79253e+06	2.49424e+06	2.49039e+06		1.62516e+06	1.79519e+06	1.71902e+06		1.78396e+06		1.72327e+06			
SPO0035	Peptide O-xylosyltransferase				1.12924e+06	1.21192e+06	1.13845e+06	1.07153e+06		1.1839e+06	1.31362e+06	1.2895e+06		1.26037e+06		1.18089e+06			
SPO0036	"Glycosyl transferase, group 2 family protein"				1.05143e+06	1.19234e+06	1.06982e+06	1.12029e+06		1.16789e+06	1.09863e+06	1.11319e+06		1.00344e+06		1.13264e+06			
SPO0037	"Glycosyl transferase, group 2 family protein"				580800	625537	538091	529913		589094	685308	675952	9.33826e+06	646711		567226			
SPO0038	3-deoxy-D-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)				3.57265e+06	4.09061e+06	5.14459e+06	4.90177e+06	4.5735e+06	4.12604e+06	4.18333e+06	4.25591e+06	4.15311e+06	4.23661e+06	4.58591e+06	4.16956e+06	1.89995e+06		
SPO0039	"3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase)"				7.4438e+06	7.43249e+06	7.48819e+06	7.31466e+06	5.12166e+06	7.71124e+06	7.09832e+06	7.10717e+06	6.25928e+06	6.91057e+06	5.72642e+06	7.44978e+06	276305	616450	1.29875e+06
SPO0040	"ABC transporter, permease protein"				145090	201449	265797	197569		112667	365430	374273		335532		113995			
SPO0041	SH3b domain-containing protein				1.26569e+06	1.45276e+06	1.29879e+06	1.4883e+06	319158	1.49008e+06	1.57686e+06	1.56634e+06		1.49113e+06	780450	1.61019e+06	4.35572e+06	5.17334e+06	3.37494e+06
SPO0042	"Alkylated DNA repair protein, putative"				1.73102e+06	1.33549e+06	1.28522e+06	1.32296e+06		1.39594e+06	1.30227e+06	1.2612e+06	2.05742e+06	1.33751e+06		1.3038e+06		11378.6	
SPO0043	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)				5.44563e+07	6.238e+07	6.45704e+07	6.70103e+07	8.59019e+07	6.03726e+07	7.87319e+07	7.73085e+07	8.95874e+07	7.83009e+07	7.66102e+07	6.71903e+07	6.12523e+06	5.26107e+06	5.6884e+06
SPO0044	Chaperone protein DnaJ				2.40079e+07	1.42365e+07	1.82271e+07	1.87971e+07	9.25453e+06	1.49069e+07	1.50229e+07	1.50025e+07	7.6964e+06	1.50763e+07	8.25766e+06	1.53456e+07	6.39578e+06	2.55604e+06	3.96288e+06
SPO0045	hydroxymethylpyrimidine kinase (EC 2.7.1.49)				729108	512415	662878	673708		524489	581395	519769		530453		493204			
SPO0046	D-amino-acid oxidase (EC 1.4.3.3)				360912	213673	325622	339947	1.38533e+08	214706	268183	255508		283636		221146			
SPO0046a	#NAME?					66817.3		136747		86641.1	158224	84810.3				84445.6			
SPO0047	Thiazole synthase (EC 2.8.1.10)				299883	314042	353351	370752		292641	405297	364077		393911		298526			
SPO0048	Thiamine-phosphate synthase (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase)				280476	274573	364000	313964		260215	317488	294148		309259		243362			
SPO0049	Thiamine biosynthesis protein ThiF				94041.3	111518	123110	88457		127357	112122	120841		117439		105857	501969	532244	
SPO0050	"ABC transporter, periplasmic substrate-binding protein"				5.05819e+06	3.06277e+06	5.97337e+06	6.16487e+06	4.41241e+06	2.99526e+06	4.15598e+06	4.24979e+06	5.06722e+06	4.50688e+06	7.25613e+06	2.91679e+06	5.34378e+07	5.38871e+07	6.22102e+07
SPO0051	Aminopyrimidine aminohydrolase (EC 3.5.99.2)				413941	349915	489079	455636		324058	497860	480195		448718		353183			
SPO0052	"ABC transporter, ATP-binding protein"				223837	169514	199408	181796		176554	195440	177635		187653		174959			
SPO0053	"ABC transporter, permease protein"				317655	172555	336078	315418		127870	387071	397539		330933		147122			
SPO0054	UPF0758 protein SPO0054				2.15504e+06	225092	2.43335e+06	2.61297e+06		220704	230017	198548		188642		208574	1.0713e+06		
SPO0055	OmpA domain protein				2.11542e+06	3.0303e+06	1.95353e+06	1.92567e+06	1.60993e+06	3.14306e+06	3.14803e+06	3.28539e+06		3.25467e+06		3.14607e+06			
SPO0056	Translocase				44456	164651	109468	61588.9		146126	152155	126594		162339		158358			
SPO0057	Protein translocase subunit SecA 1 (EC 7.4.2.8)				1.58496e+07	1.49809e+07	1.67802e+07	1.72026e+07	1.12537e+07	1.50772e+07	1.54441e+07	1.50244e+07	1.19974e+07	1.54024e+07	1.14547e+07	1.56514e+07	3.10204e+06	3.63957e+06	4.41094e+06
SPO0058	Parvulin-like PPIase (Peptidyl-prolyl cis-trans isomerase plp) (Rotamase plp)				9.88157e+06	1.44456e+07	1.60385e+07	1.60386e+07	1.63158e+07	1.40462e+07	1.51671e+07	1.4254e+07	1.6723e+07	1.59106e+07	1.53949e+07	1.49991e+07	221031	331931	514173
SPO0059	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]				1.33512e+07	1.12289e+07	1.30289e+07	1.39836e+07	1.18396e+07	1.1475e+07	1.328e+07	1.35359e+07	1.27504e+07	1.33287e+07	1.19158e+07	1.2267e+07	46805	172610	158495
SPO0060	"8-oxo-dGTP diphosphatase (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)"				1.11331e+06	1.53755e+06	1.6898e+06	1.63568e+06		1.33049e+06	1.42919e+06	1.39403e+06		1.37164e+06		1.45837e+06	157523		110913
SPO0061	Translation initiation factor IF-2				3.83986e+07	5.01493e+07	3.90672e+07	3.82856e+07	4.15218e+07	5.1381e+07	5.30864e+07	5.20882e+07	4.57049e+07	5.3061e+07	3.86885e+07	5.32206e+07	4.817e+06	5.35738e+06	7.60436e+06
SPO0062	YlxR domain-containing protein				4.14476e+06	4.71329e+06	3.52278e+06	3.60832e+06	2.22716e+06	4.81198e+06	4.68616e+06	4.54097e+06	4.37296e+06	4.68881e+06	1.32114e+06	4.91203e+06			
SPO0063	Transcription termination/antitermination protein NusA				2.29533e+07	2.29103e+07	2.58557e+07	2.57061e+07	2.43027e+07	2.59693e+07	2.77601e+07	2.81015e+07	2.90668e+07	2.86616e+07	2.80837e+07	2.79845e+07	1.7714e+06	1.30629e+06	871294
SPO0064	Ribosome maturation factor RimP				876479	1.5728e+06	1.94332e+06	2.18423e+06		1.54529e+06	1.70656e+06	1.53908e+06		1.71924e+06		1.775e+06			
SPO0066	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase)				4.88164e+06	4.34911e+06	4.64884e+06	4.8119e+06	3.86688e+06	4.28432e+06	4.60964e+06	4.49842e+06	3.77584e+06	4.61372e+06		4.32477e+06		207931	182060
SPO0067	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)				2.71776e+06	3.35398e+06	3.59589e+06	3.63907e+06		3.0384e+06	3.33246e+06	3.27969e+06	5.85528e+06	3.23603e+06	1.565e+06	2.74149e+06			
SPO0068	"Transcriptional regulator, putative"				2.00701e+06	2.18172e+06	1.89737e+06	1.80135e+06		2.05165e+06	3.8376e+06	3.88281e+06		3.97296e+06		1.87666e+06			
SPO0069	"Hydrolase, carbon-nitrogen family"				2.05335e+06	2.10129e+06	2.23472e+06	2.16003e+06		2.00338e+06	2.06833e+06	1.93585e+06		2.0179e+06		1.97828e+06	57362	429048	
SPO0070	Glutaredoxin				2.03446e+06	1.45513e+06	1.43458e+06	1.36814e+06	8.42766e+06	1.59158e+06	1.27186e+06	1.13696e+06		1.12692e+06		1.53146e+06	1.83331e+06	3.99762e+07	
SPO0071	"Competence protein F, putative"				1.16033e+06	225278	983976	1.00401e+06		233330	232170	254654		240357		220307			
SPO0072	Methyltransferase type 11 domain-containing protein				594763	1.01277e+06	663245	692890	9.94316e+07	917756	989481	963341		1.01486e+06	8.60888e+07	948479			
SPO0073	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)				2.96085e+06	4.14347e+06	2.44626e+06	2.77291e+06		4.07891e+06	3.58802e+06	3.44827e+06		3.51576e+06		4.0338e+06			
SPO0075	ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein				1.62571e+07	1.9644e+07	1.36057e+07	1.33538e+07	2.91909e+07	1.94815e+07	1.76499e+07	1.81358e+07	3.29959e+07	1.79622e+07	3.72173e+07	2.05951e+07	9.47806e+06	1.1531e+07	8.18537e+06
SPO0076	"Lipoprotein, putative"				2.09578e+07	2.06529e+07	1.71171e+07	1.74933e+07		2.24511e+07	1.75762e+07	1.83407e+07	6.27319e+06	1.73084e+07	5.12855e+06	2.17771e+07	1.61692e+07	1.17734e+07	1.2195e+07
SPO0077	PTS IIA-like nitrogen-regulatory protein PtsN				4.89322e+06	6.29536e+06	6.60602e+06	5.70824e+06	1.04453e+07	5.81457e+06	6.62066e+06	6.30467e+06	7.35251e+07	6.16781e+06	8.54941e+07	6.22223e+06	1.96148e+08	2.19253e+08	1.7778e+08
SPO0078	Ribosome hibernation promoting factor (HPF)				3.73888e+07	6.27894e+07	2.97674e+07	3.26965e+07	2.9116e+07	6.2361e+07	5.94785e+07	5.42783e+07	3.82507e+07	5.44099e+07	3.00566e+07	6.40783e+07	476268	711205	631293
SPO0079	Lipopolysaccharide export system ATP-binding protein LptB				3.18362e+06	3.3317e+06	3.09102e+06	3.0523e+06		3.24899e+06	3.29354e+06	3.18289e+06		3.13558e+06		3.25586e+06			3.56086e+06
SPO0080	Organic solvent tolerance-like N-terminal domain-containing protein				1.73006e+06	3.06312e+06	2.76048e+06	2.99356e+06		3.18483e+06	2.43057e+06	2.01857e+06	5.28838e+06	2.11525e+06		3.56198e+06			
SPO0081	Lipopolysaccharide export system protein LptC				1.11143e+06	862813	1.05451e+06	1.08493e+06		824848	970357	989120		1.00202e+06		923890			
SPO0082	Arabinose 5-phosphate isomerase (EC 5.3.1.13)				7.71499e+06	6.4009e+06	7.91432e+06	8.27562e+06	3.6947e+06	6.21574e+06	7.92067e+06	7.8398e+06	2.83415e+06	7.66464e+06	4.71528e+06	6.12217e+06	1.07639e+06		
SPO0083	"Exonuclease, putative"				3.70621e+06	3.23184e+06	3.63211e+06	3.73693e+06		3.57727e+06	3.83262e+06	3.43652e+06		3.56269e+06	1.02958e+06	3.3221e+06	7.38959e+06	2.48196e+06	7.4625e+06
SPO0084	betaine-aldehyde dehydrogenase (EC 1.2.1.8)				2.61881e+06	1.90484e+06	2.48126e+06	2.66975e+06		1.86247e+06	2.3745e+06	2.35392e+06		2.50281e+06		2.10563e+06		1.42406e+07	1.34235e+07
SPO0085	Uncharacterized protein				233593		54459.2	91749.5		115123	44644.8	191935				63190.5			
SPO0086	"Lipoprotein, putative"				980320	315506	1.46543e+06	1.49986e+06		323307	1.08212e+06	1.07077e+06	3.14094e+06	1.11795e+06	3.29821e+06	332624		1.98788e+07	
SPO0087	Porin domain-containing protein				3.54122e+06	3.14564e+06	4.9727e+06	4.80614e+06		793890	1.62322e+06	934817		1.56297e+06		1.36083e+06	3.82965e+06	3.10432e+06	
SPO0088	Cytochrome c domain-containing protein				1.12893e+06	866004	839738	960454		569126	1.46809e+06	1.3636e+06		1.30866e+06		723188			2.36943e+06
SPO0089	Imelysin-like domain-containing protein				142014	72337.3	141889	114406		62307.3	165739	165952		163881		55755			
SPO0090	Twin-arginine translocation pathway signal				516082	500828	571409	392805		489997	585435	632773		712914		526071	5.34698e+06	5.21751e+06	6.86718e+06
SPO0091	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)				737872	998589	758350	740681	4.10468e+06	926460	1.28219e+06	1.12474e+06		1.19069e+06		958584			
SPO0092	"Heat shock protein, Hsp70 family"				1.18121e+06	1.816e+06	1.2176e+06	1.1666e+06		1.74771e+06	1.80953e+06	1.88556e+06		1.926e+06		1.82533e+06	535921	517298	
SPO0093	nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)				1.26254e+06	1.42431e+06	1.74914e+06	1.74447e+06	1.02962e+06	1.29457e+06	1.2161e+06	1.27126e+06		1.32859e+06		1.34514e+06		154200	
SPO0094	histidine kinase (EC 2.7.13.3)				455640	74949.6	470303	474184		63897	101030	110619		103793		94897.3			
SPO0095	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)				3.8642e+06	3.22507e+06	3.92335e+06	3.82747e+06	1.05949e+07	3.29206e+06	3.6938e+06	3.72178e+06		3.75626e+06		3.2915e+06		306926	437263
SPO0096	"Membrane protein, putative"				31625	64667.4	58703.6	61468.5		63426.1	67863.8	45423.1		41719.5		65789.1			
SPO0097	Aldehyde dehydrogenase family protein				7.19025e+06	4.66825e+06	7.67689e+06	7.23095e+06		4.52347e+06	4.435e+06	4.38829e+06	4.24361e+06	4.31848e+06	3.14925e+06	4.67033e+06		2.29178e+07	
SPO0098	"Peptide/opine/nickel uptake family ABC transporter, ATP-binding protein"				1.30973e+06	855303	1.11233e+06	1.08639e+06		801598	740122	783427		760201		786841			
SPO0099	"Peptide/opine/nickel uptake family ABC transporter, permease protein"				1.64964e+06	1.65622e+06	2.25624e+06	2.05155e+06		1.49331e+06	1.71912e+06	1.75056e+06		1.34182e+06		1.23434e+06			
SPO0100	"Peptide/opine/nickel uptake family ABC transporter, permease protein"				519112	729613	920719	847906		616610	911581	895641		903513		647615			
SPO0101	"Peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein"				8.01942e+06	7.11856e+06	1.21119e+07	1.29559e+07	1.41576e+07	6.95422e+06	7.62632e+06	7.10478e+06	1.55382e+07	7.21784e+06	6.95139e+07	7.54567e+06	1.86124e+08	1.7781e+08	2.29746e+08
SPO0102	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)				6.03843e+06	3.41875e+06	4.59296e+06	4.78349e+06	2.96779e+06	3.52057e+06	3.6511e+06	3.55472e+06	2.51799e+06	3.70029e+06	1.85733e+06	3.38003e+06		257669	85333.8
SPO0103	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)				5.23974e+06	3.99436e+06	5.47972e+06	5.67071e+06		4.22288e+06	4.49352e+06	4.75543e+06		4.7795e+06		4.07883e+06	351770	317333	
SPO0104	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)				7.27806e+06	9.28402e+06	7.42074e+06	7.38394e+06	8.38014e+06	9.04425e+06	8.35462e+06	8.68893e+06	7.42501e+06	8.57681e+06	7.24291e+06	9.5513e+06	1.84555e+06	2.18258e+06	784610
SPO0105	Monooxygenase family protein				2.09284e+06	1.8035e+06	2.06573e+06	2.07707e+06		1.85044e+06	1.82554e+06	1.92957e+06		1.92107e+06	1.56508e+06	1.86563e+06			
SPO0106	UPF0246 protein SPO0106				6.23523e+06	4.72638e+06	5.08743e+06	5.43416e+06	4.9822e+06	4.90729e+06	5.53221e+06	5.57223e+06	6.8656e+06	5.71185e+06	4.43206e+06	4.99087e+06			132246
SPO0107	DNA helicase RecQ (EC 5.6.2.4)				895982	1.5578e+06	987875	1.02335e+06		1.33552e+06	1.71712e+06	1.70494e+06		1.67808e+06		1.42214e+06	310015	139871	
SPO0109	"Membrane protein, putative"				2.00529e+06	1.24799e+06	2.95181e+06	2.7354e+06		826408	1.76575e+06	1.66337e+06		1.57976e+06		947732			
SPO0110	"ABC transporter, ATP binding/permease protein"				3.74691e+06	1.24802e+06	3.80493e+06	3.79608e+06		1.23422e+06	1.62701e+06	1.67401e+06		1.67052e+06		1.21849e+06	1.10966e+07		
SPO0111	Membrane fusion protein biotin-lipoyl like domain-containing protein				1.44005e+07	5.7483e+06	1.63503e+07	1.59674e+07		5.70775e+06	6.13921e+06	5.70041e+06		6.25771e+06		5.8483e+06	1.3528e+07		
SPO0112	Poly(3-hydroxyalkanoate) polymerase family protein				8.07445e+06	2.10599e+06	7.73419e+06	7.8596e+06	2.38677e+08	1.9762e+06	2.2931e+06	2.29329e+06	1.74755e+08	2.35561e+06		1.86467e+06	4.60341e+06	5.74825e+06	7.63344e+06
SPO0113	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)				3.8052e+06	1.24448e+06	3.90182e+06	4.32859e+06	6.69288e+06	1.20692e+06	1.17421e+06	1.18867e+06		1.24363e+06		1.17185e+06	1.59381e+08	1.78954e+08	
SPO0114	Uncharacterized protein					87133.3					26109.9								
SPO0115	MaoC family protein/phosphate acetyl/butaryl transferase				1.52163e+07	4.50761e+06	1.45968e+07	1.54566e+07	769389	4.32019e+06	4.12463e+06	3.91716e+06		4.03214e+06	2.92356e+07	4.00013e+06			
SPO0116	Acetate kinase (EC 2.7.2.1) (Acetokinase)				4.0612e+06	1.57929e+06	3.93437e+06	4.18985e+06		1.60573e+06	1.73901e+06	1.59683e+06		1.5814e+06		1.57507e+06			
SPO0118	DUF4274 domain-containing protein					83552.9		28019.3		82134.7	99793.5	64575.6		87653.1		83187			
SPO0119	"Transcriptional regulator, AsnC family"				552422	501400	494968	498278		495101	540849	536385		560318		465172			
SPO0120	"Membrane protein, putative"				70101.9	14155.5				8895.85		20166.4				11615			
SPO0122	YGGT family protein				570478	1.24016e+06	592035	699887		1.17291e+06	653939	708368		760535		1.10754e+06			
SPO0123	"Membrane protein, putative"				1.1127e+06	1.18668e+06	1.16097e+06	1.05364e+06		1.18904e+06	1.43135e+06	1.42409e+06		1.45313e+06		1.33758e+06			
SPO0124	Murein endopeptidase				1.46617e+07	1.14206e+07	1.11969e+07	1.10942e+07	1.8939e+07	1.24574e+07	8.55951e+06	8.68849e+06	2.18861e+07	8.78904e+06	1.80197e+07	1.1864e+07	1.71918e+06	2.87069e+06	1.74467e+06
SPO0125	Phytase-like domain-containing protein				1.63656e+06	2.72069e+06	1.97725e+06	1.88347e+06	1.82774e+06	2.65588e+06	2.11798e+06	2.16888e+06		2.13929e+06	2.92948e+06	2.72701e+06		5.22382e+06	
SPO0126	Probable queuosine precursor transporter (Q precursor transporter)				421861	1.02206e+06	1.55817e+06	1.4388e+06		1.1921e+06	782913	745403		774988		1.21678e+06			
SPO0127	Peptidyl-tRNA hydrolase domain protein				1.25267e+06	1.43294e+06	1.20457e+06	1.26305e+06		1.50364e+06	1.21495e+06	1.15006e+06		1.12816e+06		1.56416e+06			
SPO0128	"Oxidoreductase, short chain dehydrogenase/reductase family"				1.09033e+07	7.34459e+06	8.95176e+06	9.01761e+06	2.41566e+06	7.69348e+06	7.23764e+06	7.57311e+06		7.21948e+06	3.21423e+06	7.75817e+06			
